Enlem;Boylam;Z_Anomali(m)
41.05300215;29.67340778;"=""-19.97"""
41.05300215;29.67376516;"=""-19.55"""
41.05300215;29.67412255;"=""-18.80"""
41.05300215;29.67447993;"=""-18.03"""
41.05300215;29.67483732;"=""-17.53"""
41.05300215;29.67519471;"=""-17.51"""
41.05300215;29.67555209;"=""-18.04"""
41.05300215;29.67590948;"=""-19.07"""
41.05300215;29.67626686;"=""-20.44"""
41.05300215;29.67662425;"=""-21.97"""
41.05300215;29.67698163;"=""-23.52"""
41.05300215;29.67733902;"=""-25.04"""
41.05300215;29.67769641;"=""-26.60"""
41.05300215;29.67805379;"=""-28.26"""
41.05300215;29.67841118;"=""-29.99"""
41.05300215;29.67876856;"=""-31.61"""
41.05300215;29.67912595;"=""-32.88"""
41.05300215;29.67948333;"=""-33.58"""
41.05273265;29.65410896;"=""34.08"""
41.05273265;29.65446634;"=""33.61"""
41.05273265;29.65482373;"=""32.71"""
41.05273265;29.65518111;"=""31.47"""
41.05273265;29.65553850;"=""29.95"""
41.05273265;29.65589588;"=""28.20"""
41.05273265;29.65625327;"=""26.28"""
41.05273265;29.65661066;"=""24.21"""
41.05273265;29.65696804;"=""22.02"""
41.05273265;29.65732543;"=""19.74"""
41.05273265;29.65768281;"=""17.46"""
41.05273265;29.65804020;"=""15.31"""
41.05273265;29.65839758;"=""13.35"""
41.05273265;29.65875497;"=""11.61"""
41.05273265;29.65911235;"=""10.06"""
41.05273265;29.65946974;"=""8.75"""
41.05273265;29.65982713;"=""7.73"""
41.05273265;29.66018451;"=""7.08"""
41.05273265;29.66054190;"=""6.80"""
41.05273265;29.66089928;"=""6.77"""
41.05273265;29.66125667;"=""6.80"""
41.05273265;29.66161405;"=""6.70"""
41.05273265;29.66197144;"=""6.38"""
41.05273265;29.66232882;"=""5.85"""
41.05273265;29.66268621;"=""5.19"""
41.05273265;29.66304360;"=""4.44"""
41.05273265;29.66340098;"=""3.58"""
41.05273265;29.66375837;"=""2.50"""
41.05273265;29.66411575;"=""1.12"""
41.05273265;29.66447314;"=""-0.60"""
41.05273265;29.66483052;"=""-2.52"""
41.05273265;29.66518791;"=""-4.44"""
41.05273265;29.66554530;"=""-6.07"""
41.05273265;29.66590268;"=""-7.20"""
41.05273265;29.66626007;"=""-7.71"""
41.05273265;29.66661745;"=""-7.71"""
41.05273265;29.66697484;"=""-7.43"""
41.05273265;29.66733222;"=""-7.15"""
41.05273265;29.66768961;"=""-7.06"""
41.05273265;29.66804699;"=""-7.16"""
41.05273265;29.66840438;"=""-7.36"""
41.05273265;29.66876177;"=""-7.53"""
41.05273265;29.66911915;"=""-7.62"""
41.05273265;29.66947654;"=""-7.68"""
41.05273265;29.66983392;"=""-7.79"""
41.05273265;29.67019131;"=""-8.00"""
41.05273265;29.67054869;"=""-8.36"""
41.05273265;29.67090608;"=""-8.99"""
41.05273265;29.67126346;"=""-10.03"""
41.05273265;29.67162085;"=""-11.53"""
41.05273265;29.67197824;"=""-13.41"""
41.05273265;29.67233562;"=""-15.37"""
41.05273265;29.67269301;"=""-17.03"""
41.05273265;29.67305039;"=""-18.11"""
41.05273265;29.67340778;"=""-18.48"""
41.05273265;29.67376516;"=""-18.21"""
41.05273265;29.67412255;"=""-17.56"""
41.05273265;29.67447993;"=""-16.82"""
41.05273265;29.67483732;"=""-16.30"""
41.05273265;29.67519471;"=""-16.24"""
41.05273265;29.67555209;"=""-16.76"""
41.05273265;29.67590948;"=""-17.85"""
41.05273265;29.67626686;"=""-19.36"""
41.05273265;29.67662425;"=""-21.09"""
41.05273265;29.67698163;"=""-22.86"""
41.05273265;29.67733902;"=""-24.62"""
41.05273265;29.67769641;"=""-26.39"""
41.05273265;29.67805379;"=""-28.21"""
41.05273265;29.67841118;"=""-30.03"""
41.05273265;29.67876856;"=""-31.66"""
41.05273265;29.67912595;"=""-32.89"""
41.05273265;29.67948333;"=""-33.54"""
41.05246316;29.65410896;"=""33.95"""
41.05246316;29.65446634;"=""33.39"""
41.05246316;29.65482373;"=""32.38"""
41.05246316;29.65518111;"=""31.03"""
41.05246316;29.65553850;"=""29.44"""
41.05246316;29.65589588;"=""27.66"""
41.05246316;29.65625327;"=""25.70"""
41.05246316;29.65661066;"=""23.55"""
41.05246316;29.65696804;"=""21.23"""
41.05246316;29.65732543;"=""18.81"""
41.05246316;29.65768281;"=""16.44"""
41.05246316;29.65804020;"=""14.28"""
41.05246316;29.65839758;"=""12.44"""
41.05246316;29.65875497;"=""10.95"""
41.05246316;29.65911235;"=""9.75"""
41.05246316;29.65946974;"=""8.79"""
41.05246316;29.65982713;"=""8.06"""
41.05246316;29.66018451;"=""7.57"""
41.05246316;29.66054190;"=""7.31"""
41.05246316;29.66089928;"=""7.18"""
41.05246316;29.66125667;"=""7.06"""
41.05246316;29.66161405;"=""6.82"""
41.05246316;29.66197144;"=""6.41"""
41.05246316;29.66232882;"=""5.85"""
41.05246316;29.66268621;"=""5.24"""
41.05246316;29.66304360;"=""4.63"""
41.05246316;29.66340098;"=""4.00"""
41.05246316;29.66375837;"=""3.22"""
41.05246316;29.66411575;"=""2.17"""
41.05246316;29.66447314;"=""0.78"""
41.05246316;29.66483052;"=""-0.85"""
41.05246316;29.66518791;"=""-2.48"""
41.05246316;29.66554530;"=""-3.84"""
41.05246316;29.66590268;"=""-4.72"""
41.05246316;29.66626007;"=""-5.07"""
41.05246316;29.66661745;"=""-5.01"""
41.05246316;29.66697484;"=""-4.78"""
41.05246316;29.66733222;"=""-4.61"""
41.05246316;29.66768961;"=""-4.61"""
41.05246316;29.66804699;"=""-4.77"""
41.05246316;29.66840438;"=""-4.99"""
41.05246316;29.66876177;"=""-5.16"""
41.05246316;29.66911915;"=""-5.26"""
41.05246316;29.66947654;"=""-5.34"""
41.05246316;29.66983392;"=""-5.45"""
41.05246316;29.67019131;"=""-5.67"""
41.05246316;29.67054869;"=""-6.05"""
41.05246316;29.67090608;"=""-6.74"""
41.05246316;29.67126346;"=""-7.88"""
41.05246316;29.67162085;"=""-9.55"""
41.05246316;29.67197824;"=""-11.64"""
41.05246316;29.67233562;"=""-13.84"""
41.05246316;29.67269301;"=""-15.76"""
41.05246316;29.67305039;"=""-17.10"""
41.05246316;29.67340778;"=""-17.71"""
41.05246316;29.67376516;"=""-17.68"""
41.05246316;29.67412255;"=""-17.21"""
41.05246316;29.67447993;"=""-16.59"""
41.05246316;29.67483732;"=""-16.10"""
41.05246316;29.67519471;"=""-16.02"""
41.05246316;29.67555209;"=""-16.51"""
41.05246316;29.67590948;"=""-17.62"""
41.05246316;29.67626686;"=""-19.22"""
41.05246316;29.67662425;"=""-21.08"""
41.05246316;29.67698163;"=""-23.01"""
41.05246316;29.67733902;"=""-24.91"""
41.05246316;29.67769641;"=""-26.76"""
41.05246316;29.67805379;"=""-28.58"""
41.05246316;29.67841118;"=""-30.29"""
41.05246316;29.67876856;"=""-31.75"""
41.05246316;29.67912595;"=""-32.79"""
41.05246316;29.67948333;"=""-33.33"""
41.05219367;29.65410896;"=""34.09"""
41.05219367;29.65446634;"=""33.46"""
41.05219367;29.65482373;"=""32.35"""
41.05219367;29.65518111;"=""30.91"""
41.05219367;29.65553850;"=""29.26"""
41.05219367;29.65589588;"=""27.45"""
41.05219367;29.65625327;"=""25.45"""
41.05219367;29.65661066;"=""23.24"""
41.05219367;29.65696804;"=""20.83"""
41.05219367;29.65732543;"=""18.34"""
41.05219367;29.65768281;"=""15.93"""
41.05219367;29.65804020;"=""13.82"""
41.05219367;29.65839758;"=""12.12"""
41.05219367;29.65875497;"=""10.86"""
41.05219367;29.65911235;"=""9.96"""
41.05219367;29.65946974;"=""9.31"""
41.05219367;29.65982713;"=""8.85"""
41.05219367;29.66018451;"=""8.54"""
41.05219367;29.66054190;"=""8.36"""
41.05219367;29.66089928;"=""8.26"""
41.05219367;29.66125667;"=""8.13"""
41.05219367;29.66161405;"=""7.87"""
41.05219367;29.66197144;"=""7.44"""
41.05219367;29.66232882;"=""6.88"""
41.05219367;29.66268621;"=""6.29"""
41.05219367;29.66304360;"=""5.74"""
41.05219367;29.66340098;"=""5.23"""
41.05219367;29.66375837;"=""4.63"""
41.05219367;29.66411575;"=""3.80"""
41.05219367;29.66447314;"=""2.65"""
41.05219367;29.66483052;"=""1.27"""
41.05219367;29.66518791;"=""-0.13"""
41.05219367;29.66554530;"=""-1.29"""
41.05219367;29.66590268;"=""-2.08"""
41.05219367;29.66626007;"=""-2.48"""
41.05219367;29.66661745;"=""-2.61"""
41.05219367;29.66697484;"=""-2.65"""
41.05219367;29.66733222;"=""-2.75"""
41.05219367;29.66768961;"=""-2.97"""
41.05219367;29.66804699;"=""-3.27"""
41.05219367;29.66840438;"=""-3.58"""
41.05219367;29.66876177;"=""-3.82"""
41.05219367;29.66911915;"=""-4.00"""
41.05219367;29.66947654;"=""-4.13"""
41.05219367;29.66983392;"=""-4.28"""
41.05219367;29.67019131;"=""-4.49"""
41.05219367;29.67054869;"=""-4.87"""
41.05219367;29.67090608;"=""-5.57"""
41.05219367;29.67126346;"=""-6.78"""
41.05219367;29.67162085;"=""-8.55"""
41.05219367;29.67197824;"=""-10.78"""
41.05219367;29.67233562;"=""-13.15"""
41.05219367;29.67269301;"=""-15.27"""
41.05219367;29.67305039;"=""-16.83"""
41.05219367;29.67340778;"=""-17.71"""
41.05219367;29.67376516;"=""-17.95"""
41.05219367;29.67412255;"=""-17.72"""
41.05219367;29.67447993;"=""-17.28"""
41.05219367;29.67483732;"=""-16.89"""
41.05219367;29.67519471;"=""-16.83"""
41.05219367;29.67555209;"=""-17.31"""
41.05219367;29.67590948;"=""-18.40"""
41.05219367;29.67626686;"=""-20.00"""
41.05219367;29.67662425;"=""-21.90"""
41.05219367;29.67698163;"=""-23.85"""
41.05219367;29.67733902;"=""-25.73"""
41.05219367;29.67769641;"=""-27.50"""
41.05219367;29.67805379;"=""-29.15"""
41.05219367;29.67841118;"=""-30.62"""
41.05219367;29.67876856;"=""-31.79"""
41.05219367;29.67912595;"=""-32.58"""
41.05219367;29.67948333;"=""-32.96"""
41.05192417;29.65410896;"=""34.15"""
41.05192417;29.65446634;"=""33.46"""
41.05192417;29.65482373;"=""32.24"""
41.05192417;29.65518111;"=""30.72"""
41.05192417;29.65553850;"=""29.03"""
41.05192417;29.65589588;"=""27.22"""
41.05192417;29.65625327;"=""25.24"""
41.05192417;29.65661066;"=""23.06"""
41.05192417;29.65696804;"=""20.68"""
41.05192417;29.65732543;"=""18.24"""
41.05192417;29.65768281;"=""15.93"""
41.05192417;29.65804020;"=""13.93"""
41.05192417;29.65839758;"=""12.40"""
41.05192417;29.65875497;"=""11.35"""
41.05192417;29.65911235;"=""10.70"""
41.05192417;29.65946974;"=""10.33"""
41.05192417;29.65982713;"=""10.13"""
41.05192417;29.66018451;"=""10.07"""
41.05192417;29.66054190;"=""10.09"""
41.05192417;29.66089928;"=""10.14"""
41.05192417;29.66125667;"=""10.13"""
41.05192417;29.66161405;"=""9.95"""
41.05192417;29.66197144;"=""9.58"""
41.05192417;29.66232882;"=""9.04"""
41.05192417;29.66268621;"=""8.43"""
41.05192417;29.66304360;"=""7.85"""
41.05192417;29.66340098;"=""7.29"""
41.05192417;29.66375837;"=""6.68"""
41.05192417;29.66411575;"=""5.87"""
41.05192417;29.66447314;"=""4.80"""
41.05192417;29.66483052;"=""3.52"""
41.05192417;29.66518791;"=""2.20"""
41.05192417;29.66554530;"=""1.04"""
41.05192417;29.66590268;"=""0.13"""
41.05192417;29.66626007;"=""-0.54"""
41.05192417;29.66661745;"=""-1.04"""
41.05192417;29.66697484;"=""-1.48"""
41.05192417;29.66733222;"=""-1.94"""
41.05192417;29.66768961;"=""-2.41"""
41.05192417;29.66804699;"=""-2.87"""
41.05192417;29.66840438;"=""-3.29"""
41.05192417;29.66876177;"=""-3.62"""
41.05192417;29.66911915;"=""-3.89"""
41.05192417;29.66947654;"=""-4.09"""
41.05192417;29.66983392;"=""-4.25"""
41.05192417;29.67019131;"=""-4.42"""
41.05192417;29.67054869;"=""-4.73"""
41.05192417;29.67090608;"=""-5.37"""
41.05192417;29.67126346;"=""-6.55"""
41.05192417;29.67162085;"=""-8.33"""
41.05192417;29.67197824;"=""-10.60"""
41.05192417;29.67233562;"=""-13.05"""
41.05192417;29.67269301;"=""-15.30"""
41.05192417;29.67305039;"=""-17.06"""
41.05192417;29.67340778;"=""-18.21"""
41.05192417;29.67376516;"=""-18.75"""
41.05192417;29.67412255;"=""-18.82"""
41.05192417;29.67447993;"=""-18.62"""
41.05192417;29.67483732;"=""-18.42"""
41.05192417;29.67519471;"=""-18.45"""
41.05192417;29.67555209;"=""-18.94"""
41.05192417;29.67590948;"=""-19.97"""
41.05192417;29.67626686;"=""-21.48"""
41.05192417;29.67662425;"=""-23.26"""
41.05192417;29.67698163;"=""-25.08"""
41.05192417;29.67733902;"=""-26.80"""
41.05192417;29.67769641;"=""-28.36"""
41.05192417;29.67805379;"=""-29.75"""
41.05192417;29.67841118;"=""-30.90"""
41.05192417;29.67876856;"=""-31.76"""
41.05192417;29.67912595;"=""-32.27"""
41.05192417;29.67948333;"=""-32.50"""
41.05165468;29.65410896;"=""33.87"""
41.05165468;29.65446634;"=""33.12"""
41.05165468;29.65482373;"=""31.81"""
41.05165468;29.65518111;"=""30.22"""
41.05165468;29.65553850;"=""28.53"""
41.05165468;29.65589588;"=""26.77"""
41.05165468;29.65625327;"=""24.89"""
41.05165468;29.65661066;"=""22.84"""
41.05165468;29.65696804;"=""20.64"""
41.05165468;29.65732543;"=""18.40"""
41.05165468;29.65768281;"=""16.28"""
41.05165468;29.65804020;"=""14.48"""
41.05165468;29.65839758;"=""13.12"""
41.05165468;29.65875497;"=""12.25"""
41.05165468;29.65911235;"=""11.81"""
41.05165468;29.65946974;"=""11.67"""
41.05165468;29.65982713;"=""11.72"""
41.05165468;29.66018451;"=""11.92"""
41.05165468;29.66054190;"=""12.19"""
41.05165468;29.66089928;"=""12.46"""
41.05165468;29.66125667;"=""12.62"""
41.05165468;29.66161405;"=""12.58"""
41.05165468;29.66197144;"=""12.28"""
41.05165468;29.66232882;"=""11.75"""
41.05165468;29.66268621;"=""11.09"""
41.05165468;29.66304360;"=""10.36"""
41.05165468;29.66340098;"=""9.60"""
41.05165468;29.66375837;"=""8.76"""
41.05165468;29.66411575;"=""7.76"""
41.05165468;29.66447314;"=""6.56"""
41.05165468;29.66483052;"=""5.21"""
41.05165468;29.66518791;"=""3.82"""
41.05165468;29.66554530;"=""2.51"""
41.05165468;29.66590268;"=""1.33"""
41.05165468;29.66626007;"=""0.30"""
41.05165468;29.66661745;"=""-0.62"""
41.05165468;29.66697484;"=""-1.46"""
41.05165468;29.66733222;"=""-2.22"""
41.05165468;29.66768961;"=""-2.89"""
41.05165468;29.66804699;"=""-3.46"""
41.05165468;29.66840438;"=""-3.93"""
41.05165468;29.66876177;"=""-4.33"""
41.05165468;29.66911915;"=""-4.65"""
41.05165468;29.66947654;"=""-4.90"""
41.05165468;29.66983392;"=""-5.06"""
41.05165468;29.67019131;"=""-5.16"""
41.05165468;29.67054869;"=""-5.36"""
41.05165468;29.67090608;"=""-5.87"""
41.05165468;29.67126346;"=""-6.91"""
41.05165468;29.67162085;"=""-8.57"""
41.05165468;29.67197824;"=""-10.75"""
41.05165468;29.67233562;"=""-13.17"""
41.05165468;29.67269301;"=""-15.49"""
41.05165468;29.67305039;"=""-17.43"""
41.05165468;29.67340778;"=""-18.84"""
41.05165468;29.67376516;"=""-19.71"""
41.05165468;29.67412255;"=""-20.12"""
41.05165468;29.67447993;"=""-20.24"""
41.05165468;29.67483732;"=""-20.30"""
41.05165468;29.67519471;"=""-20.50"""
41.05165468;29.67555209;"=""-21.02"""
41.05165468;29.67590948;"=""-21.96"""
41.05165468;29.67626686;"=""-23.28"""
41.05165468;29.67662425;"=""-24.82"""
41.05165468;29.67698163;"=""-26.37"""
41.05165468;29.67733902;"=""-27.81"""
41.05165468;29.67769641;"=""-29.08"""
41.05165468;29.67805379;"=""-30.17"""
41.05165468;29.67841118;"=""-31.02"""
41.05165468;29.67876856;"=""-31.58"""
41.05165468;29.67912595;"=""-31.87"""
41.05165468;29.67948333;"=""-31.97"""
41.05138519;29.65410896;"=""33.16"""
41.05138519;29.65446634;"=""32.36"""
41.05138519;29.65482373;"=""31.00"""
41.05138519;29.65518111;"=""29.38"""
41.05138519;29.65553850;"=""27.73"""
41.05138519;29.65589588;"=""26.09"""
41.05138519;29.65625327;"=""24.39"""
41.05138519;29.65661066;"=""22.58"""
41.05138519;29.65696804;"=""20.65"""
41.05138519;29.65732543;"=""18.69"""
41.05138519;29.65768281;"=""16.83"""
41.05138519;29.65804020;"=""15.23"""
41.05138519;29.65839758;"=""14.02"""
41.05138519;29.65875497;"=""13.27"""
41.05138519;29.65911235;"=""12.95"""
41.05138519;29.65946974;"=""12.95"""
41.05138519;29.65982713;"=""13.19"""
41.05138519;29.66018451;"=""13.60"""
41.05138519;29.66054190;"=""14.08"""
41.05138519;29.66089928;"=""14.53"""
41.05138519;29.66125667;"=""14.82"""
41.05138519;29.66161405;"=""14.85"""
41.05138519;29.66197144;"=""14.59"""
41.05138519;29.66232882;"=""14.05"""
41.05138519;29.66268621;"=""13.30"""
41.05138519;29.66304360;"=""12.37"""
41.05138519;29.66340098;"=""11.29"""
41.05138519;29.66375837;"=""10.07"""
41.05138519;29.66411575;"=""8.73"""
41.05138519;29.66447314;"=""7.27"""
41.05138519;29.66483052;"=""5.74"""
41.05138519;29.66518791;"=""4.18"""
41.05138519;29.66554530;"=""2.66"""
41.05138519;29.66590268;"=""1.21"""
41.05138519;29.66626007;"=""-0.15"""
41.05138519;29.66661745;"=""-1.41"""
41.05138519;29.66697484;"=""-2.53"""
41.05138519;29.66733222;"=""-3.47"""
41.05138519;29.66768961;"=""-4.21"""
41.05138519;29.66804699;"=""-4.80"""
41.05138519;29.66840438;"=""-5.27"""
41.05138519;29.66876177;"=""-5.67"""
41.05138519;29.66911915;"=""-6.02"""
41.05138519;29.66947654;"=""-6.28"""
41.05138519;29.66983392;"=""-6.42"""
41.05138519;29.67019131;"=""-6.46"""
41.05138519;29.67054869;"=""-6.52"""
41.05138519;29.67090608;"=""-6.85"""
41.05138519;29.67126346;"=""-7.67"""
41.05138519;29.67162085;"=""-9.10"""
41.05138519;29.67197824;"=""-11.08"""
41.05138519;29.67233562;"=""-13.36"""
41.05138519;29.67269301;"=""-15.65"""
41.05138519;29.67305039;"=""-17.70"""
41.05138519;29.67340778;"=""-19.34"""
41.05138519;29.67376516;"=""-20.51"""
41.05138519;29.67412255;"=""-21.28"""
41.05138519;29.67447993;"=""-21.77"""
41.05138519;29.67483732;"=""-22.15"""
41.05138519;29.67519471;"=""-22.56"""
41.05138519;29.67555209;"=""-23.15"""
41.05138519;29.67590948;"=""-23.98"""
41.05138519;29.67626686;"=""-25.04"""
41.05138519;29.67662425;"=""-26.25"""
41.05138519;29.67698163;"=""-27.45"""
41.05138519;29.67733902;"=""-28.55"""
41.05138519;29.67769641;"=""-29.51"""
41.05138519;29.67805379;"=""-30.30"""
41.05138519;29.67841118;"=""-30.88"""
41.05138519;29.67876856;"=""-31.21"""
41.05138519;29.67912595;"=""-31.33"""
41.05138519;29.67948333;"=""-31.33"""
41.05111569;29.65410896;"=""32.01"""
41.05111569;29.65446634;"=""31.20"""
41.05111569;29.65482373;"=""29.83"""
41.05111569;29.65518111;"=""28.26"""
41.05111569;29.65553850;"=""26.72"""
41.05111569;29.65589588;"=""25.26"""
41.05111569;29.65625327;"=""23.80"""
41.05111569;29.65661066;"=""22.26"""
41.05111569;29.65696804;"=""20.62"""
41.05111569;29.65732543;"=""18.95"""
41.05111569;29.65768281;"=""17.33"""
41.05111569;29.65804020;"=""15.90"""
41.05111569;29.65839758;"=""14.77"""
41.05111569;29.65875497;"=""14.04"""
41.05111569;29.65911235;"=""13.72"""
41.05111569;29.65946974;"=""13.75"""
41.05111569;29.65982713;"=""14.05"""
41.05111569;29.66018451;"=""14.54"""
41.05111569;29.66054190;"=""15.10"""
41.05111569;29.66089928;"=""15.60"""
41.05111569;29.66125667;"=""15.90"""
41.05111569;29.66161405;"=""15.91"""
41.05111569;29.66197144;"=""15.62"""
41.05111569;29.66232882;"=""15.03"""
41.05111569;29.66268621;"=""14.18"""
41.05111569;29.66304360;"=""13.04"""
41.05111569;29.66340098;"=""11.64"""
41.05111569;29.66375837;"=""10.04"""
41.05111569;29.66411575;"=""8.33"""
41.05111569;29.66447314;"=""6.58"""
41.05111569;29.66483052;"=""4.84"""
41.05111569;29.66518791;"=""3.11"""
41.05111569;29.66554530;"=""1.42"""
41.05111569;29.66590268;"=""-0.22"""
41.05111569;29.66626007;"=""-1.78"""
41.05111569;29.66661745;"=""-3.22"""
41.05111569;29.66697484;"=""-4.47"""
41.05111569;29.66733222;"=""-5.45"""
41.05111569;29.66768961;"=""-6.18"""
41.05111569;29.66804699;"=""-6.70"""
41.05111569;29.66840438;"=""-7.11"""
41.05111569;29.66876177;"=""-7.48"""
41.05111569;29.66911915;"=""-7.81"""
41.05111569;29.66947654;"=""-8.07"""
41.05111569;29.66983392;"=""-8.18"""
41.05111569;29.67019131;"=""-8.15"""
41.05111569;29.67054869;"=""-8.09"""
41.05111569;29.67090608;"=""-8.24"""
41.05111569;29.67126346;"=""-8.82"""
41.05111569;29.67162085;"=""-9.98"""
41.05111569;29.67197824;"=""-11.68"""
41.05111569;29.67233562;"=""-13.73"""
41.05111569;29.67269301;"=""-15.89"""
41.05111569;29.67305039;"=""-17.92"""
41.05111569;29.67340778;"=""-19.68"""
41.05111569;29.67376516;"=""-21.09"""
41.05111569;29.67412255;"=""-22.18"""
41.05111569;29.67447993;"=""-23.02"""
41.05111569;29.67483732;"=""-23.72"""
41.05111569;29.67519471;"=""-24.35"""
41.05111569;29.67555209;"=""-25.00"""
41.05111569;29.67590948;"=""-25.71"""
41.05111569;29.67626686;"=""-26.51"""
41.05111569;29.67662425;"=""-27.37"""
41.05111569;29.67698163;"=""-28.20"""
41.05111569;29.67733902;"=""-28.95"""
41.05111569;29.67769641;"=""-29.60"""
41.05111569;29.67805379;"=""-30.11"""
41.05111569;29.67841118;"=""-30.46"""
41.05111569;29.67876856;"=""-30.62"""
41.05111569;29.67912595;"=""-30.61"""
41.05111569;29.67948333;"=""-30.56"""
41.05084620;29.65410896;"=""30.38"""
41.05084620;29.65446634;"=""29.60"""
41.05084620;29.65482373;"=""28.31"""
41.05084620;29.65518111;"=""26.87"""
41.05084620;29.65553850;"=""25.52"""
41.05084620;29.65589588;"=""24.28"""
41.05084620;29.65625327;"=""23.07"""
41.05084620;29.65661066;"=""21.79"""
41.05084620;29.65696804;"=""20.41"""
41.05084620;29.65732543;"=""18.96"""
41.05084620;29.65768281;"=""17.52"""
41.05084620;29.65804020;"=""16.17"""
41.05084620;29.65839758;"=""15.04"""
41.05084620;29.65875497;"=""14.23"""
41.05084620;29.65911235;"=""13.79"""
41.05084620;29.65946974;"=""13.72"""
41.05084620;29.65982713;"=""13.94"""
41.05084620;29.66018451;"=""14.35"""
41.05084620;29.66054190;"=""14.82"""
41.05084620;29.66089928;"=""15.20"""
41.05084620;29.66125667;"=""15.36"""
41.05084620;29.66161405;"=""15.24"""
41.05084620;29.66197144;"=""14.85"""
41.05084620;29.66232882;"=""14.20"""
41.05084620;29.66268621;"=""13.28"""
41.05084620;29.66304360;"=""12.02"""
41.05084620;29.66340098;"=""10.41"""
41.05084620;29.66375837;"=""8.55"""
41.05084620;29.66411575;"=""6.57"""
41.05084620;29.66447314;"=""4.61"""
41.05084620;29.66483052;"=""2.71"""
41.05084620;29.66518791;"=""0.87"""
41.05084620;29.66554530;"=""-0.91"""
41.05084620;29.66590268;"=""-2.62"""
41.05084620;29.66626007;"=""-4.25"""
41.05084620;29.66661745;"=""-5.73"""
41.05084620;29.66697484;"=""-6.97"""
41.05084620;29.66733222;"=""-7.91"""
41.05084620;29.66768961;"=""-8.55"""
41.05084620;29.66804699;"=""-9.00"""
41.05084620;29.66840438;"=""-9.34"""
41.05084620;29.66876177;"=""-9.65"""
41.05084620;29.66911915;"=""-9.94"""
41.05084620;29.66947654;"=""-10.16"""
41.05084620;29.66983392;"=""-10.24"""
41.05084620;29.67019131;"=""-10.15"""
41.05084620;29.67054869;"=""-10.01"""
41.05084620;29.67090608;"=""-10.02"""
41.05084620;29.67126346;"=""-10.41"""
41.05084620;29.67162085;"=""-11.32"""
41.05084620;29.67197824;"=""-12.74"""
41.05084620;29.67233562;"=""-14.51"""
41.05084620;29.67269301;"=""-16.44"""
41.05084620;29.67305039;"=""-18.33"""
41.05084620;29.67340778;"=""-20.06"""
41.05084620;29.67376516;"=""-21.58"""
41.05084620;29.67412255;"=""-22.87"""
41.05084620;29.67447993;"=""-23.97"""
41.05084620;29.67483732;"=""-24.91"""
41.05084620;29.67519471;"=""-25.71"""
41.05084620;29.67555209;"=""-26.39"""
41.05084620;29.67590948;"=""-26.99"""
41.05084620;29.67626686;"=""-27.56"""
41.05084620;29.67662425;"=""-28.11"""
41.05084620;29.67698163;"=""-28.61"""
41.05084620;29.67733902;"=""-29.04"""
41.05084620;29.67769641;"=""-29.38"""
41.05084620;29.67805379;"=""-29.64"""
41.05084620;29.67841118;"=""-29.79"""
41.05084620;29.67876856;"=""-29.82"""
41.05084620;29.67912595;"=""-29.74"""
41.05084620;29.67948333;"=""-29.65"""
41.05057671;29.65410896;"=""28.22"""
41.05057671;29.65446634;"=""27.52"""
41.05057671;29.65482373;"=""26.37"""
41.05057671;29.65518111;"=""25.13"""
41.05057671;29.65553850;"=""24.00"""
41.05057671;29.65589588;"=""23.00"""
41.05057671;29.65625327;"=""22.03"""
41.05057671;29.65661066;"=""20.99"""
41.05057671;29.65696804;"=""19.82"""
41.05057671;29.65732543;"=""18.53"""
41.05057671;29.65768281;"=""17.18"""
41.05057671;29.65804020;"=""15.84"""
41.05057671;29.65839758;"=""14.64"""
41.05057671;29.65875497;"=""13.68"""
41.05057671;29.65911235;"=""13.05"""
41.05057671;29.65946974;"=""12.77"""
41.05057671;29.65982713;"=""12.77"""
41.05057671;29.66018451;"=""12.96"""
41.05057671;29.66054190;"=""13.19"""
41.05057671;29.66089928;"=""13.31"""
41.05057671;29.66125667;"=""13.22"""
41.05057671;29.66161405;"=""12.90"""
41.05057671;29.66197144;"=""12.37"""
41.05057671;29.66232882;"=""11.66"""
41.05057671;29.66268621;"=""10.71"""
41.05057671;29.66304360;"=""9.43"""
41.05057671;29.66340098;"=""7.79"""
41.05057671;29.66375837;"=""5.86"""
41.05057671;29.66411575;"=""3.81"""
41.05057671;29.66447314;"=""1.77"""
41.05057671;29.66483052;"=""-0.17"""
41.05057671;29.66518791;"=""-2.03"""
41.05057671;29.66554530;"=""-3.81"""
41.05057671;29.66590268;"=""-5.51"""
41.05057671;29.66626007;"=""-7.10"""
41.05057671;29.66661745;"=""-8.52"""
41.05057671;29.66697484;"=""-9.69"""
41.05057671;29.66733222;"=""-10.54"""
41.05057671;29.66768961;"=""-11.12"""
41.05057671;29.66804699;"=""-11.50"""
41.05057671;29.66840438;"=""-11.80"""
41.05057671;29.66876177;"=""-12.06"""
41.05057671;29.66911915;"=""-12.28"""
41.05057671;29.66947654;"=""-12.44"""
41.05057671;29.66983392;"=""-12.47"""
41.05057671;29.67019131;"=""-12.35"""
41.05057671;29.67054869;"=""-12.19"""
41.05057671;29.67090608;"=""-12.15"""
41.05057671;29.67126346;"=""-12.43"""
41.05057671;29.67162085;"=""-13.15"""
41.05057671;29.67197824;"=""-14.31"""
41.05057671;29.67233562;"=""-15.80"""
41.05057671;29.67269301;"=""-17.45"""
41.05057671;29.67305039;"=""-19.11"""
