Enlem;Boylam;Z_Anomali(m)
41.05704455;29.65518111;"=""22.81"""
41.05704455;29.65553850;"=""21.52"""
41.05704455;29.65589588;"=""19.87"""
41.05704455;29.65625327;"=""17.90"""
41.05704455;29.65661066;"=""15.84"""
41.05704455;29.65696804;"=""14.03"""
41.05704455;29.65732543;"=""12.74"""
41.05704455;29.65768281;"=""12.09"""
41.05704455;29.65804020;"=""12.08"""
41.05704455;29.65839758;"=""12.58"""
41.05704455;29.65875497;"=""13.43"""
41.05704455;29.65911235;"=""14.44"""
41.05704455;29.65946974;"=""15.49"""
41.05704455;29.65982713;"=""16.48"""
41.05704455;29.66018451;"=""17.35"""
41.05704455;29.66054190;"=""18.09"""
41.05704455;29.66089928;"=""18.70"""
41.05704455;29.66125667;"=""19.18"""
41.05704455;29.66161405;"=""19.47"""
41.05704455;29.66197144;"=""19.49"""
41.05704455;29.66232882;"=""19.12"""
41.05704455;29.66268621;"=""18.29"""
41.05704455;29.66304360;"=""17.02"""
41.05704455;29.66340098;"=""15.39"""
41.05704455;29.66375837;"=""13.53"""
41.05704455;29.66411575;"=""11.60"""
41.05704455;29.66447314;"=""9.79"""
41.05704455;29.66483052;"=""8.29"""
41.05704455;29.66518791;"=""7.18"""
41.05704455;29.66554530;"=""6.43"""
41.05704455;29.66590268;"=""5.84"""
41.05704455;29.66626007;"=""5.12"""
41.05704455;29.66661745;"=""4.00"""
41.05704455;29.66697484;"=""2.31"""
41.05704455;29.66733222;"=""0.08"""
41.05704455;29.66768961;"=""-2.51"""
41.05704455;29.66804699;"=""-5.19"""
41.05704455;29.66840438;"=""-7.67"""
41.05704455;29.66876177;"=""-9.74"""
41.05704455;29.66911915;"=""-11.31"""
41.05704455;29.66947654;"=""-12.43"""
41.05704455;29.66983392;"=""-13.16"""
41.05704455;29.67019131;"=""-13.56"""
41.05704455;29.67054869;"=""-13.65"""
41.05704455;29.67090608;"=""-13.48"""
41.05704455;29.67126346;"=""-13.14"""
41.05704455;29.67162085;"=""-12.74"""
41.05704455;29.67197824;"=""-12.39"""
41.05704455;29.67233562;"=""-12.16"""
41.05704455;29.67269301;"=""-12.02"""
41.05704455;29.67305039;"=""-11.86"""
41.05704455;29.67340778;"=""-11.56"""
41.05704455;29.67376516;"=""-11.03"""
41.05704455;29.67412255;"=""-10.28"""
41.05704455;29.67447993;"=""-9.38"""
41.05704455;29.67483732;"=""-8.47"""
41.05704455;29.67519471;"=""-7.78"""
41.05704455;29.67555209;"=""-7.55"""
41.05704455;29.67590948;"=""-7.99"""
41.05704455;29.67626686;"=""-9.12"""
41.05704455;29.67662425;"=""-10.79"""
41.05704455;29.67698163;"=""-12.74"""
41.05704455;29.67733902;"=""-14.70"""
41.05704455;29.67769641;"=""-16.47"""
41.05704455;29.67805379;"=""-17.99"""
41.05704455;29.67841118;"=""-19.28"""
41.05704455;29.67876856;"=""-20.38"""
41.05704455;29.67912595;"=""-21.25"""
41.05704455;29.67948333;"=""-21.75"""
41.05677505;29.65410896;"=""23.82"""
41.05677505;29.65446634;"=""23.14"""
41.05677505;29.65482373;"=""22.03"""
41.05677505;29.65518111;"=""20.76"""
41.05677505;29.65553850;"=""19.39"""
41.05677505;29.65589588;"=""17.85"""
41.05677505;29.65625327;"=""16.09"""
41.05677505;29.65661066;"=""14.25"""
41.05677505;29.65696804;"=""12.54"""
41.05677505;29.65732543;"=""11.19"""
41.05677505;29.65768281;"=""10.36"""
41.05677505;29.65804020;"=""10.10"""
41.05677505;29.65839758;"=""10.36"""
41.05677505;29.65875497;"=""11.02"""
41.05677505;29.65911235;"=""11.96"""
41.05677505;29.65946974;"=""13.03"""
41.05677505;29.65982713;"=""14.13"""
41.05677505;29.66018451;"=""15.19"""
41.05677505;29.66054190;"=""16.19"""
41.05677505;29.66089928;"=""17.15"""
41.05677505;29.66125667;"=""18.02"""
41.05677505;29.66161405;"=""18.70"""
41.05677505;29.66197144;"=""19.02"""
41.05677505;29.66232882;"=""18.81"""
41.05677505;29.66268621;"=""18.02"""
41.05677505;29.66304360;"=""16.71"""
41.05677505;29.66340098;"=""15.08"""
41.05677505;29.66375837;"=""13.35"""
41.05677505;29.66411575;"=""11.76"""
41.05677505;29.66447314;"=""10.50"""
41.05677505;29.66483052;"=""9.67"""
41.05677505;29.66518791;"=""9.27"""
41.05677505;29.66554530;"=""9.17"""
41.05677505;29.66590268;"=""9.13"""
41.05677505;29.66626007;"=""8.83"""
41.05677505;29.66661745;"=""8.02"""
